DATAHORA,NUM_OCORRENCIA,COD_TIPO_OCORRENCIA,DESC_TIPO_OCORRENCIA,COD_SUBTIPO_OCORRENCIA,DESC_SUBTIPO_OCORRENCIA,BAIRRO,MUNICIPIO,ENDERECO,REFERENCIA,AREA,Y,X,LATITUDE,LONGITUDE,Ano,Mes,Dia,date,Hora_Completa,Periodo,lat,lng
20210102205032ES,M11829613,FUGA_DE,FUGA DE PRESOS,default,,PINHEIROPOLIS,CARUARU,RODOVIA  BR-104,KM 67 / AO LADO DA RODOVIARIA CARUARUENCE,4BPM,910474648,16588427,-808781507680.029,-360311990081776,2021,01,02,02-01-2021,8:50:00 PM,Noite,-8.08781507680029,-36.0311990081776
20210103235025ES,M11833398,VIAS_DE,VIAS DE FATO,default,,PACHECO,JABOATÃƒO DOS GUARARAPES,R PRF JOAQUIM AMAZONAS 159,TERMINAL DO PACHECO / BANCA MIRIM DA SORTE,25BPM,910449999,28382023,-809658368825.901,-349618051706532,2021,01,03,03-01-2021,11:50:00 PM,Noite,-8.09658368825901,-34.9618051706532
20210103235242ES,M11833409,AGRESSAO,AGRESSAO,MARIADAPENHA,MARIA DA PENHA,,,,,5BPM,896038382,-32803633,-932487779559.662,-405196421179546,2021,01,03,03-01-2021,11:52:00 PM,Noite,-9.32487779559662,-40.5196421179546
20210104182840ES,M11834459,ROUBO,ROUBO,12F,DE VEICULO,BOA VIAGEM,RECIFE,AV CNSO AGUIAR,NA FRENTE HABBIS ,19BPM,910324828,29176567,-810823997062.248,-348897814190967,2021,01,04,04-01-2021,6:28:00 PM,Noite,-8.10823997062248,-34.8897814190967
20210105165513ES,M11835628,INVASAO,INVASAO ,14A,A DOMICILIO,JARDIM FRAGOSO,OLINDA,R  ANA RITA M DA SILVA 65,"NÂª 65,A RUA FICA EM FRENTE A FACULDADE FACHO ",1BPM,911665427,29552772,-798719692155.833,-348551007082276,2021,01,05,05-01-2021,4:55:00 PM,Tarde,-7.98719692155833,-34.8551007082276
20210106225753ES,M11837441,AGRESSAO,AGRESSAO,MARIADAPENHA,MARIA DA PENHA,PEIXINHOS,OLINDA,R STO AMARO 295,POSTO BR ,1BPM,911420028,29280414,-800927096395.581,-348799033402924,2021,01,06,06-01-2021,10:57:00 PM,Noite,-8.00927096395581,-34.8799033402924
20210106234023ES,M11837499,DISPARO1,DISPARO DE ARMA DE FOGO,default,,TAMARINEIRA,RECIFE,R CB HONORIO 41,"PRX A DENOX | APÃ“S A FERREIRA COSTA, 2Âª A DIREITA",11BPM,911198644,29080145,-802920202214.095,-348981599400427,2021,01,06,06-01-2021,11:40:00 PM,Noite,-8.02920202214095,-34.8981599400427
20210107004537ES,M11837585,RECEPTAC,RECEPTACAO,default,,,,,,15BPM,908755733,14916144,-824190376607.607,-361839878538653,2021,01,07,07-01-2021,12:45:00 AM,Madrugada,-8.24190376607607,-36.1839878538653
20210107202947ES,M11838463,ENTORPEC,ENTORPECENTES E DROGAS AFINS,ENTORP6,PORTE,,,,,11CIP,901743361,15807548,-887588787473.341,-361083104262011,2021,01,07,07-01-2021,8:29:00 PM,Noite,-8.87588787473341,-36.1083104262011
20210107203155ES,M11838467,AMEACA,AMEACA,AMEACA1,VERBAL,,,,,23BPM,914126651,-1039928,-774358422564.402,-376238668776184,2021,01,07,07-01-2021,8:31:00 PM,Noite,-7.74358422564402,-37.6238668776184
