lat,lng,date
-8.08781507680029,-36.0311990081776,2021-01-02
-8.09658368825901,-34.9618051706532,2021-01-03
-9.32487779559662,-40.5196421179546,2021-01-03
-8.10823997062248,-34.8897814190967,2021-01-04
-7.98719692155833,-34.8551007082276,2021-01-05
-8.00927096395581,-34.8799033402924,2021-01-06
-8.02920202214095,-34.8981599400427,2021-01-06
-8.24190376607607,-36.1839878538653,2021-01-07
-8.87588787473341,-36.1083104262011,2021-01-07
-7.74358422564402,-37.6238668776184,2021-01-07
-8.32892423534382,-35.0099207883153,2021-01-09
-9.32487779559662,-40.5196421179546,2021-01-09
-8.05848360016722,-34.9299688554725,2021-01-09
-8.00122397839078,-34.8508610719008,2021-01-09
-8.07802832320008,-34.9197110648807,2021-01-09
-8.09310352858971,-34.9253448876819,2021-01-09
-9.10604026643426,-36.7473518189581,2021-01-09
-8.24235244487419,-35.5528676531036,2021-01-09
-7.68926803489769,-35.5313118657298,2021-01-09
-8.67022542891995,-35.1919352274429,2021-01-09
-8.28345701570957,-35.9765213494767,2021-01-09
-7.98852093600511,-35.0534300135795,2021-01-10
-7.68926803489769,-35.5313118657298,2021-01-10
-8.07734118449443,-34.9464820059583,2021-01-10
-7.64450276670007,-40.4706865367968,2021-01-10
-8.03888710092516,-34.8730310808717,2021-01-10
-8.03549520557347,-34.8964473867706,2021-01-10
-8.13026282857639,-34.9342011279269,2021-01-10
-8.17067377948638,-34.9961883908547,2021-01-10
-7.79164321353201,-39.3031708886797,2021-01-10
-9.32487779559662,-40.5196421179546,2021-01-10
-7.64450276670007,-40.4706865367968,2021-01-10
-8.10321098742789,-34.9137370830281,2021-01-10
-7.98883953368123,-34.8965923401556,2021-01-10
-8.00438411211275,-34.9862000033842,2021-01-10
-8.28758656953857,-35.9683525577614,2021-01-11
-8.08402699798808,-34.8800631866126,2021-01-11
-9.10604026643426,-36.7473518189581,2021-01-11
-7.96655427645835,-34.8387456639003,2021-01-12
-8.13250843368104,-34.9074976419095,2021-01-12
-9.32487779559662,-40.5196421179546,2021-01-12
-8.03884899531266,-34.8813524505269,2021-01-13
-7.77837231290872,-35.5690574067551,2021-01-13
-8.01158895483484,-34.3486850382186,2021-01-13
-8.02313040353286,-34.9812360285796,2021-01-13
-8.17967706865358,-34.9175287734889,2021-01-13
-7.98271535093401,-34.9041679935123,2021-01-13
-7.58358891752727,-34.9572264703845,2021-01-13
-9.10604026643426,-36.7473518189581,2021-01-13
-8.81367531882732,-34.9564851269097,2021-01-13
-7.99905900492952,-34.4865352200525,2021-01-14
-8.22649844784902,-35.5294568511098,2021-01-14
-8.07756299381065,-34.9104652457587,2021-01-14
-9.10604026643426,-36.7473518189581,2021-01-14
-8.02706155737843,-34.8754429083417,2021-01-15
-8.23678955794968,-34.9781388158789,2021-01-15
-8.50021884520259,-37.2368407276293,2021-01-16
-8.10345080334846,-34.9665395087755,2021-01-16
-8.00027274700473,-34.8463051511002,2021-01-16
-8.24235244545179,-35.5528675623954,2021-01-16
-7.89684551620833,-34.8393798855423,2021-01-16
-8.04209590664447,-34.9354454246203,2021-01-16
-8.33577180479008,-34.9538617340888,2021-01-16
-9.10604026643426,-36.7473518189581,2021-01-16
-8.50021884520259,-37.2368407276293,2021-01-16
-7.99985160635961,-34.8860507644869,2021-01-16
-7.94216611278255,-38.2197434607745,2021-01-16
-7.74358422564402,-37.6238668776184,2021-01-17
-8.20825357938011,-34.9311892332338,2021-01-17
-8.22649844784902,-35.5294568511098,2021-01-17
-7.58358891752727,-34.9572264703845,2021-01-17
-8.25936509045427,-36.6527829900231,2021-01-17
-8.27711178212024,-35.0236244524113,2021-01-17
-7.96469887480437,-34.8428801635108,2021-01-18
-7.79764861805985,-34.8347155872573,2021-01-18
-8.11138235486152,-35.0124355319156,2021-01-18
-8.11645978814431,-35.0132068517538,2021-01-18
-7.92955467370416,-36.3741316477206,2021-01-18
-8.03208279329186,-34.8784023253826,2021-01-20
-7.99879058579718,-34.9650863047217,2021-01-20
-8.14903788860612,-34.9118264383089,2021-01-20
-9.10604026643426,-36.7473518189581,2021-01-20
-8.-81556183228,-34.9271756415483,2021-01-20
-8.86395800670854,-39.8962734462567,2021-01-20
-8.03741265027742,-34.9841663215019,2021-01-20
-8.50021884520259,-37.2368407276293,2021-01-20
-7.72104449216189,-34.8312377636762,2021-01-21
-8.50021884520259,-37.2368407276293,2021-01-21
-8.04521360453123,-34.9170256311111,2021-01-21
-7.74358422564402,-37.6238668776184,2021-01-21
-8.01412472971007,-34.9890096031312,2021-01-21
-7.97708110748638,-34.8428928671349,2021-01-21
-8.76632663291361,-35.6972544458122,2021-01-21
-7.77028067626278,-34.8388964573019,2021-01-22
-7.90802425970478,-34.9011548611062,2021-01-22
-8.03493521573152,-34.8754411315825,2021-01-22
-9.32487779559662,-40.5196421179546,2021-01-22
-8.22649844784902,-35.5294568511098,2021-01-22
-8.00055887684098,-34.8848013997172,2021-01-01
-7.99879611240996,-35.0277182619677,2021-01-02
-8.02444531950637,-34.9810466736123,2021-01-03
-7.68926803489769,-35.5313118657298,2021-01-03
-8.80512260649432,-34.8883074520851,2021-01-03
-9.10604026643426,-36.7473518189581,2021-01-03
-7.97896160692704,-34.9170458700201,2021-01-04
-8.04672902368162,-34.9271362491253,2021-01-04
-8.50021884520259,-37.2368407276293,2021-01-04
-8.06361303170952,-34.8879607693227,2021-01-05
-8.28057701337245,-35.9745580320959,2021-01-05
-8.02067175978167,-34.9197870120488,2021-01-07
